model,condition,n,valid_n,errors,accuracy_pct,parse_pct
base,control_target_rescaled,300,300,0,35.66666666666667,100.0
base,control_blank_1_left,300,300,0,34.333333333333336,100.0
base,control_blank_1_right,300,300,0,35.333333333333336,100.0
base,control_noise_1_left,300,300,0,37.0,100.0
base,control_noise_1_right,300,300,0,32.33333333333333,100.0
base,distractor_1_seed0_left,300,300,0,36.0,100.0
base,distractor_1_seed0_right,300,300,0,36.333333333333336,100.0
base,distractor_1_seed1_left,300,300,0,38.0,99.66666666666667
base,distractor_1_seed1_right,300,300,0,36.333333333333336,100.0
base,distractor_1_seed2_left,300,300,0,35.333333333333336,100.0
base,distractor_1_seed2_right,300,300,0,37.666666666666664,100.0
base,clean,300,300,0,36.666666666666664,100.0
base,distractor_1,300,300,0,35.0,100.0
sft,control_target_rescaled,300,300,0,33.666666666666664,100.0
sft,control_blank_1_left,300,300,0,33.666666666666664,100.0
sft,control_blank_1_right,300,300,0,34.66666666666667,100.0
sft,control_noise_1_left,300,300,0,32.33333333333333,100.0
sft,control_noise_1_right,300,300,0,32.666666666666664,100.0
sft,distractor_1_seed0_left,300,300,0,30.333333333333336,100.0
sft,distractor_1_seed0_right,300,300,0,29.333333333333332,100.0
sft,distractor_1_seed1_left,300,300,0,32.666666666666664,99.66666666666667
sft,distractor_1_seed1_right,300,300,0,31.0,100.0
sft,distractor_1_seed2_left,300,300,0,31.333333333333336,100.0
sft,distractor_1_seed2_right,300,300,0,32.33333333333333,100.0
sft,clean,300,300,0,38.0,100.0
sft,distractor_1,300,300,0,29.666666666666668,100.0
rl,control_target_rescaled,300,300,0,35.66666666666667,100.0
rl,control_blank_1_left,300,300,0,36.0,100.0
rl,control_blank_1_right,300,300,0,36.666666666666664,100.0
rl,control_noise_1_left,300,300,0,35.0,99.66666666666667
rl,control_noise_1_right,300,300,0,33.33333333333333,100.0
rl,distractor_1_seed0_left,300,300,0,33.33333333333333,100.0
rl,distractor_1_seed0_right,300,300,0,35.0,100.0
rl,distractor_1_seed1_left,300,300,0,34.66666666666667,100.0
rl,distractor_1_seed1_right,300,300,0,38.0,100.0
rl,distractor_1_seed2_left,300,300,0,32.33333333333333,100.0
rl,distractor_1_seed2_right,300,300,0,36.333333333333336,100.0
rl,clean,300,300,0,33.0,100.0
rl,distractor_1,300,300,0,35.0,100.0
