model,left_condition,right_condition,n,left_accuracy_pct,right_accuracy_pct,delta_pp,ci_low_pp,ci_high_pp,left_only_correct,right_only_correct,mcnemar_exact_p,answer_agreement_pct
base,clean,control_target_rescaled,300,36.666666666666664,35.66666666666667,-1.0,-6.666666666666667,4.333333333333334,37,34,0.8125886494061618,45.33333333333333
base,clean,distractor_1,300,36.666666666666664,35.0,-1.6666666666666667,-7.333333333333333,4.333333333333334,41,36,0.6487911623106449,44.333333333333336
base,control_target_rescaled,control_blank_1_left,300,35.66666666666667,34.333333333333336,-1.3333333333333335,-6.666666666666667,4.0,37,33,0.7202027723528613,51.66666666666667
base,control_target_rescaled,control_noise_1_left,300,35.66666666666667,37.0,1.3333333333333335,-4.0,6.666666666666667,32,36,0.7163007601543369,48.66666666666667
base,control_blank_1_left,control_noise_1_left,300,34.333333333333336,37.0,2.666666666666667,-2.666666666666667,8.0,28,36,0.38173279479333766,53.0
base,clean,distractor_1_seed0_left,300,36.666666666666664,36.0,-0.6666666666666667,-6.333333333333334,5.0,41,39,0.9110721212260928,45.0
base,control_blank_1_left,distractor_1_seed0_left,300,34.333333333333336,36.0,1.6666666666666667,-3.6666666666666665,7.000000000000001,31,36,0.6254068289416487,47.333333333333336
base,control_noise_1_left,distractor_1_seed0_left,300,37.0,36.0,-1.0,-7.000000000000001,4.666666666666667,41,38,0.8221442424521855,48.0
base,clean,distractor_1_seed1_left,300,36.666666666666664,38.0,1.3333333333333335,-4.666666666666667,7.666666666666666,41,45,0.7465343822890573,43.666666666666664
base,control_blank_1_left,distractor_1_seed1_left,300,34.333333333333336,38.0,3.6666666666666665,-2.0,9.333333333333334,31,42,0.24164472314075197,47.66666666666667
base,control_noise_1_left,distractor_1_seed1_left,300,37.0,38.0,1.0,-4.666666666666667,6.333333333333334,34,37,0.8125886494061618,47.66666666666667
base,clean,distractor_1_seed2_left,300,36.666666666666664,35.333333333333336,-1.3333333333333335,-6.666666666666667,4.0,35,31,0.7122308826373508,45.0
base,control_blank_1_left,distractor_1_seed2_left,300,34.333333333333336,35.333333333333336,1.0,-4.666666666666667,6.666666666666667,35,38,0.8151212352249975,45.666666666666664
base,control_noise_1_left,distractor_1_seed2_left,300,37.0,35.333333333333336,-1.6666666666666667,-7.000000000000001,3.6666666666666665,37,32,0.630456491786798,48.333333333333336
base,control_target_rescaled,control_blank_1_right,300,35.66666666666667,35.333333333333336,-0.33333333333333337,-5.666666666666666,5.0,34,33,1.0,52.0
base,control_target_rescaled,control_noise_1_right,300,35.66666666666667,32.33333333333333,-3.3333333333333335,-8.666666666666668,2.3333333333333335,41,31,0.28878428041410487,45.0
base,control_blank_1_right,control_noise_1_right,300,35.333333333333336,32.33333333333333,-3.0,-8.0,2.0,37,28,0.3210841356849956,51.33333333333333
base,clean,distractor_1_seed0_right,300,36.666666666666664,36.333333333333336,-0.33333333333333337,-6.0,5.666666666666666,42,41,1.0,43.333333333333336
base,control_blank_1_right,distractor_1_seed0_right,300,35.333333333333336,36.333333333333336,1.0,-4.666666666666667,6.666666666666667,37,40,0.8198929037490487,47.333333333333336
base,control_noise_1_right,distractor_1_seed0_right,300,32.33333333333333,36.333333333333336,4.0,-1.3333333333333335,9.333333333333334,27,39,0.1752857944430353,48.66666666666667
base,clean,distractor_1_seed1_right,300,36.666666666666664,36.333333333333336,-0.33333333333333337,-6.333333333333334,5.341666666666546,40,39,1.0,42.66666666666667
base,control_blank_1_right,distractor_1_seed1_right,300,35.333333333333336,36.333333333333336,1.0,-4.666666666666667,6.666666666666667,37,40,0.8198929037490487,43.666666666666664
base,control_noise_1_right,distractor_1_seed1_right,300,32.33333333333333,36.333333333333336,4.0,-1.6666666666666667,9.666666666666666,32,44,0.20673684180839233,45.33333333333333
base,clean,distractor_1_seed2_right,300,36.666666666666664,37.666666666666664,1.0,-4.333333333333334,6.666666666666667,33,36,0.8099490529189247,45.0
base,control_blank_1_right,distractor_1_seed2_right,300,35.333333333333336,37.666666666666664,2.3333333333333335,-3.3333333333333335,8.0,33,40,0.4827885568440213,49.0
base,control_noise_1_right,distractor_1_seed2_right,300,32.33333333333333,37.666666666666664,5.333333333333334,0.0,11.0,29,45,0.08050685743008212,46.666666666666664
base,control_blank_1_left,control_blank_1_right,300,34.333333333333336,35.333333333333336,1.0,-4.333333333333334,6.333333333333334,32,35,0.807194691367025,52.33333333333333
base,control_noise_1_left,control_noise_1_right,300,37.0,32.33333333333333,-4.666666666666667,-10.333333333333334,1.0,43,29,0.12491820036864003,47.0
base,distractor_1_seed0_left,distractor_1_seed0_right,300,36.0,36.333333333333336,0.33333333333333337,-5.0,5.666666666666666,32,33,1.0,50.33333333333333
base,distractor_1_seed1_left,distractor_1_seed1_right,300,38.0,36.333333333333336,-1.6666666666666667,-7.333333333333333,4.0,44,39,0.6608836477612148,43.666666666666664
base,distractor_1_seed2_left,distractor_1_seed2_right,300,35.333333333333336,37.666666666666664,2.3333333333333335,-3.0,7.666666666666666,30,37,0.4638176178968696,52.0
sft,clean,control_target_rescaled,300,38.0,33.666666666666664,-4.333333333333334,-10.333333333333334,1.3333333333333335,48,35,0.1874598679661928,42.333333333333336
sft,clean,distractor_1,300,38.0,29.666666666666668,-8.333333333333332,-14.000000000000002,-3.0,49,24,0.004626293921895511,40.0
sft,control_target_rescaled,control_blank_1_left,300,33.666666666666664,33.666666666666664,0.0,-5.666666666666666,5.666666666666666,38,38,1.0,37.666666666666664
sft,control_target_rescaled,control_noise_1_left,300,33.666666666666664,32.33333333333333,-1.3333333333333335,-7.000000000000001,4.666666666666667,43,39,0.7406528413457828,40.33333333333333
sft,control_blank_1_left,control_noise_1_left,300,33.666666666666664,32.33333333333333,-1.3333333333333335,-7.000000000000001,4.333333333333334,40,36,0.7310088822226052,38.333333333333336
sft,clean,distractor_1_seed0_left,300,38.0,30.333333333333336,-7.666666666666666,-13.666666666666666,-2.0,52,29,0.013999473719986943,37.0
sft,control_blank_1_left,distractor_1_seed0_left,300,33.666666666666664,30.333333333333336,-3.3333333333333335,-9.333333333333334,2.666666666666667,47,37,0.32613417119198296,36.333333333333336
sft,control_noise_1_left,distractor_1_seed0_left,300,32.33333333333333,30.333333333333336,-2.0,-7.666666666666666,4.0,42,36,0.5715867180030725,40.0
sft,clean,distractor_1_seed1_left,300,38.0,32.666666666666664,-5.333333333333334,-11.333333333333332,0.6666666666666667,52,36,0.10929542977731425,35.66666666666667
sft,control_blank_1_left,distractor_1_seed1_left,300,33.666666666666664,32.666666666666664,-1.0,-7.000000000000001,5.0,45,42,0.8303730096857538,35.333333333333336
sft,control_noise_1_left,distractor_1_seed1_left,300,32.33333333333333,32.666666666666664,0.33333333333333337,-5.666666666666666,6.333333333333334,43,44,1.0,35.0
sft,clean,distractor_1_seed2_left,300,38.0,31.333333333333336,-6.666666666666667,-12.666666666666668,-0.6666666666666667,54,34,0.04221061162240416,37.666666666666664
sft,control_blank_1_left,distractor_1_seed2_left,300,33.666666666666664,31.333333333333336,-2.3333333333333335,-8.0,3.3333333333333335,41,34,0.48868297090314333,37.0
sft,control_noise_1_left,distractor_1_seed2_left,300,32.33333333333333,31.333333333333336,-1.0,-6.666666666666667,4.666666666666667,41,38,0.8221442424521855,36.333333333333336
sft,control_target_rescaled,control_blank_1_right,300,33.666666666666664,34.66666666666667,1.0,-5.0,7.000000000000001,40,43,0.8264047244491933,37.333333333333336
sft,control_target_rescaled,control_noise_1_right,300,33.666666666666664,32.666666666666664,-1.0,-6.666666666666667,4.666666666666667,39,36,0.8175538505509844,40.666666666666664
sft,control_blank_1_right,control_noise_1_right,300,34.66666666666667,32.666666666666664,-2.0,-7.666666666666666,3.3333333333333335,40,34,0.5613807442989819,39.0
sft,clean,distractor_1_seed0_right,300,38.0,29.333333333333332,-8.666666666666668,-14.333333333333334,-3.0,50,24,0.0033722333341480717,39.0
sft,control_blank_1_right,distractor_1_seed0_right,300,34.66666666666667,29.333333333333332,-5.333333333333334,-11.333333333333332,0.6666666666666667,51,35,0.10522535125694397,33.666666666666664
sft,control_noise_1_right,distractor_1_seed0_right,300,32.666666666666664,29.333333333333332,-3.3333333333333335,-9.0,2.3333333333333335,42,32,0.29541328065567013,36.666666666666664
sft,clean,distractor_1_seed1_right,300,38.0,31.0,-7.000000000000001,-12.666666666666668,-1.3333333333333335,48,27,0.020298406990107445,40.0
sft,control_blank_1_right,distractor_1_seed1_right,300,34.66666666666667,31.0,-3.6666666666666665,-9.666666666666666,2.3333333333333335,48,37,0.27799928908055166,32.33333333333333
sft,control_noise_1_right,distractor_1_seed1_right,300,32.666666666666664,31.0,-1.6666666666666667,-7.666666666666666,4.333333333333334,45,40,0.6646454904132143,34.333333333333336
sft,clean,distractor_1_seed2_right,300,38.0,32.33333333333333,-5.666666666666666,-11.333333333333332,0.0,49,32,0.07478815428283367,39.666666666666664
sft,control_blank_1_right,distractor_1_seed2_right,300,34.66666666666667,32.33333333333333,-2.3333333333333335,-8.0,3.3333333333333335,43,36,0.49989687686032663,38.666666666666664
sft,control_noise_1_right,distractor_1_seed2_right,300,32.666666666666664,32.33333333333333,-0.33333333333333337,-6.0,5.333333333333334,36,35,1.0,39.666666666666664
sft,control_blank_1_left,control_blank_1_right,300,33.666666666666664,34.66666666666667,1.0,-5.0,7.000000000000001,42,45,0.8303730096857538,35.66666666666667
sft,control_noise_1_left,control_noise_1_right,300,32.33333333333333,32.666666666666664,0.33333333333333337,-5.333333333333334,6.333333333333334,38,39,1.0,41.0
sft,distractor_1_seed0_left,distractor_1_seed0_right,300,30.333333333333336,29.333333333333332,-1.0,-6.333333333333334,4.333333333333334,35,32,0.807194691367025,38.666666666666664
sft,distractor_1_seed1_left,distractor_1_seed1_right,300,32.666666666666664,31.0,-1.6666666666666667,-7.666666666666666,4.333333333333334,44,39,0.6608836477612148,35.66666666666667
sft,distractor_1_seed2_left,distractor_1_seed2_right,300,31.333333333333336,32.33333333333333,1.0,-4.333333333333334,6.333333333333334,33,36,0.8099490529189247,40.33333333333333
rl,clean,control_target_rescaled,300,33.0,35.66666666666667,2.666666666666667,-2.666666666666667,8.0,28,36,0.38173279479333766,43.666666666666664
rl,clean,distractor_1,300,33.0,35.0,2.0,-3.3333333333333335,7.666666666666666,33,39,0.5559977177609708,42.333333333333336
rl,control_target_rescaled,control_blank_1_left,300,35.66666666666667,36.0,0.33333333333333337,-5.333333333333334,6.0,38,39,1.0,41.0
rl,control_target_rescaled,control_noise_1_left,300,35.66666666666667,35.0,-0.6666666666666667,-6.0,4.666666666666667,33,31,0.9006532462520331,48.66666666666667
rl,control_blank_1_left,control_noise_1_left,300,36.0,35.0,-1.0,-6.666666666666667,4.333333333333334,38,35,0.8151212352249975,45.33333333333333
rl,clean,distractor_1_seed0_left,300,33.0,33.33333333333333,0.33333333333333337,-5.333333333333334,6.0,37,38,1.0,40.666666666666664
rl,control_blank_1_left,distractor_1_seed0_left,300,36.0,33.33333333333333,-2.666666666666667,-8.333333333333332,3.0,42,34,0.4221911049923154,46.33333333333333
rl,control_noise_1_left,distractor_1_seed0_left,300,35.0,33.33333333333333,-1.6666666666666667,-7.000000000000001,4.0,38,33,0.6353076420876662,47.66666666666667
rl,clean,distractor_1_seed1_left,300,33.0,34.66666666666667,1.6666666666666667,-4.0,7.666666666666666,37,42,0.6529643755164596,40.0
rl,control_blank_1_left,distractor_1_seed1_left,300,36.0,34.66666666666667,-1.3333333333333335,-7.333333333333333,4.333333333333334,41,37,0.7343420330298468,41.0
