n,accepted_n,rejected_n,coverage_pct,coverage_ci_low_pct,coverage_ci_high_pct,selective_accuracy_pct,selective_accuracy_ci_low_pct,selective_accuracy_ci_high_pct,rejected_error_pct,rejected_error_ci_low_pct,rejected_error_ci_high_pct,baseline_accuracy_pct,model,condition,item_type,split
51,3,48,5.88235294117647,0.0,13.725490196078432,33.33333333333333,0.0,100.0,89.58333333333334,80.3921568627451,97.87234042553192,11.76470588235294,base,clean,free_response,robustness_subset_300
249,122,127,48.99598393574297,42.570281124497996,55.020080321285135,52.459016393442624,43.75,61.34453781512605,68.50393700787401,60.34447135936164,76.33587786259542,41.76706827309237,base,clean,multiple_choice,robustness_subset_300
51,2,49,3.9215686274509802,0.0,9.803921568627452,0.0,0.0,0.0,85.71428571428571,75.51020408163265,94.11764705882352,13.725490196078432,base,downsample_50,free_response,robustness_subset_300
249,120,129,48.19277108433735,42.168674698795186,54.21686746987952,55.833333333333336,46.95652173913044,64.65517241379311,68.21705426356588,60.0,76.1547619047619,43.373493975903614,base,downsample_50,multiple_choice,robustness_subset_300
51,0,51,0.0,0.0,0.0,,,,84.31372549019608,74.50980392156863,94.11764705882352,15.686274509803921,base,downsample_25,free_response,robustness_subset_300
249,124,125,49.79919678714859,43.77510040160642,55.82329317269076,50.0,41.07142857142857,58.955702257941056,74.4,66.66666666666666,81.89655172413794,37.75100401606426,base,downsample_25,multiple_choice,robustness_subset_300
51,3,48,5.88235294117647,0.0,13.725490196078432,0.0,0.0,0.0,75.0,62.5,86.95652173913044,23.52941176470588,base,distractor_1,free_response,robustness_subset_300
249,123,126,49.39759036144578,43.373493975903614,55.82329317269076,51.21951219512195,42.4,59.84848484848485,76.19047619047619,68.59504132231406,83.33333333333334,37.34939759036144,base,distractor_1,multiple_choice,robustness_subset_300
51,7,44,13.725490196078432,5.88235294117647,23.52941176470588,28.57142857142857,0.0,66.66666666666666,84.0909090909091,72.72727272727273,93.61702127659575,17.647058823529413,base,distractor_3,free_response,robustness_subset_300
249,118,131,47.389558232931726,41.365461847389554,53.41365461847389,46.61016949152542,37.16814159292036,55.55555555555556,74.04580152671755,66.41221374045801,81.3953488372093,35.7429718875502,base,distractor_3,multiple_choice,robustness_subset_300
51,4,47,7.8431372549019605,1.9607843137254901,15.686274509803921,50.0,0.0,100.0,78.72340425531915,66.66666666666666,89.58333333333334,23.52941176470588,sft,clean,free_response,robustness_subset_300
249,116,133,46.58634538152611,40.562248995983936,53.01204819277109,58.620689655172406,49.20569867291179,67.28971962616822,74.43609022556392,66.66666666666666,81.67938931297711,40.963855421686745,sft,clean,multiple_choice,robustness_subset_300
51,1,50,1.9607843137254901,0.0,5.88235294117647,100.0,100.0,100.0,88.0,78.43137254901961,96.07843137254902,13.725490196078432,sft,downsample_50,free_response,robustness_subset_300
249,119,130,47.791164658634536,41.76706827309237,53.81526104417671,53.78151260504202,44.85230730223124,62.71186440677966,75.38461538461539,67.66917293233082,82.53968253968253,38.55421686746988,sft,downsample_50,multiple_choice,robustness_subset_300
51,4,47,7.8431372549019605,1.9607843137254901,15.686274509803921,0.0,0.0,0.0,78.72340425531915,66.66666666666666,89.58333333333334,19.607843137254903,sft,downsample_25,free_response,robustness_subset_300
249,120,129,48.19277108433735,42.168674698795186,54.61847389558233,50.83333333333333,42.06349206349206,60.0,70.54263565891473,62.40586466165414,78.4,39.75903614457831,sft,downsample_25,multiple_choice,robustness_subset_300
51,4,47,7.8431372549019605,1.9607843137254901,15.686274509803921,25.0,0.0,100.0,82.97872340425532,71.42857142857143,93.47826086956522,17.647058823529413,sft,distractor_1,free_response,robustness_subset_300
249,118,131,47.389558232931726,41.365461847389554,53.41365461847389,46.61016949152542,37.81512605042017,55.72550369165311,80.91603053435115,73.91223231667747,87.3015873015873,32.1285140562249,sft,distractor_1,multiple_choice,robustness_subset_300
51,3,48,5.88235294117647,0.0,13.725490196078432,33.33333333333333,0.0,100.0,87.5,77.55102040816327,95.91836734693877,13.725490196078432,sft,distractor_3,free_response,robustness_subset_300
249,108,141,43.373493975903614,37.34939759036144,49.79919678714859,57.407407407407405,47.99918699186992,66.94915254237289,67.37588652482269,59.44055944055944,74.83443708609272,43.373493975903614,sft,distractor_3,multiple_choice,robustness_subset_300
51,4,47,7.8431372549019605,1.9607843137254901,15.686274509803921,25.0,0.0,100.0,89.36170212765957,80.0,97.82608695652173,11.76470588235294,rl,clean,free_response,robustness_subset_300
