model,condition,prompt_mode,image_mode,n,valid_n,errors,accuracy_pct,mean_output_tokens,mean_latency_seconds,max_peak_memory_gb
rl,clean,evidence_first,global_budgeted,300,300,0,36.0,499.19,14.060964548715855,17.704250812530518
rl,clean,evidence_first,global_plus_quadrants_budgeted,300,300,0,33.33333333333333,508.9766666666667,14.36577184756985,17.792091846466064
rl,clean,paper,global_budgeted,300,300,0,35.333333333333336,483.19666666666666,13.639183174533148,17.70398473739624
rl,clean,paper,global_plus_quadrants_budgeted,300,300,0,34.66666666666667,508.9166666666667,14.353691173128318,17.791563034057617
rl,distractor_3,evidence_first,global_budgeted,300,300,0,31.666666666666664,499.37333333333333,14.055634045889601,17.704250812530518
rl,distractor_3,evidence_first,global_plus_quadrants_budgeted,300,300,0,31.666666666666664,494.86,13.987319152628382,17.792091846466064
rl,distractor_3,paper,global_budgeted,300,300,0,33.0,494.1566666666667,13.904221822610126,17.70372200012207
rl,distractor_3,paper,global_plus_quadrants_budgeted,300,300,0,32.33333333333333,504.68666666666667,14.24904350419684,17.791563034057617
rl,downsample_25,evidence_first,global_budgeted,300,300,0,32.0,494.39666666666665,13.930418357293432,17.704250812530518
rl,downsample_25,evidence_first,global_plus_quadrants_budgeted,300,300,0,33.0,513.4333333333333,14.483050483400778,17.792091846466064
rl,downsample_25,paper,global_budgeted,300,300,0,35.333333333333336,487.62333333333333,13.732290856669037,17.70372200012207
rl,downsample_25,paper,global_plus_quadrants_budgeted,300,300,0,35.0,518.1633333333333,14.605903953789579,17.791563034057617
