phase,model_key,condition,prompt_mode,image_mode,n,unique_rows,errors,manual_review,accuracy
improvement,rl,clean,evidence_first,global,300,300,0,13,0.34
improvement,rl,clean,evidence_first,global_plus_quadrants,300,300,20,28,0.31
improvement,rl,clean,paper,global,300,300,0,13,0.33
improvement,rl,clean,paper,global_plus_quadrants,300,300,20,30,0.3233333333333333
improvement,rl,distractor_3,evidence_first,global,300,300,0,9,0.2966666666666667
improvement,rl,distractor_3,evidence_first,global_plus_quadrants,300,300,300,300,0.0
improvement,rl,distractor_3,paper,global,300,300,0,7,0.36666666666666664
improvement,rl,distractor_3,paper,global_plus_quadrants,300,300,300,300,0.0
improvement,rl,downsample_25,evidence_first,global,300,300,0,8,0.35333333333333333
improvement,rl,downsample_25,evidence_first,global_plus_quadrants,300,300,20,27,0.32
improvement,rl,downsample_25,paper,global,300,300,0,11,0.4066666666666667
improvement,rl,downsample_25,paper,global_plus_quadrants,300,300,20,26,0.30666666666666664
reproduce,base,clean,paper,global,942,942,0,63,0.36942675159235666
reproduce,rl,clean,paper,global,942,942,0,29,0.37261146496815284
reproduce,sft,clean,paper,global,942,942,0,90,0.33970276008492567
robustness,base,clean,paper,global,300,300,0,17,0.36666666666666664
robustness,base,distractor_1,paper,global,300,300,0,14,0.35
robustness,base,distractor_3,paper,global,300,300,0,20,0.32666666666666666
robustness,base,downsample_25,paper,global,300,300,0,22,0.34
robustness,base,downsample_50,paper,global,300,300,0,18,0.38333333333333336
robustness,rl,clean,paper,global,300,300,0,13,0.33
robustness,rl,distractor_1,paper,global,300,300,0,6,0.35
robustness,rl,distractor_3,paper,global,300,300,0,7,0.36666666666666664
robustness,rl,downsample_25,paper,global,300,300,0,11,0.4066666666666667
robustness,rl,downsample_50,paper,global,300,300,0,12,0.36666666666666664
robustness,sft,clean,paper,global,300,300,0,20,0.38
robustness,sft,distractor_1,paper,global,300,300,0,25,0.2966666666666667
robustness,sft,distractor_3,paper,global,300,300,0,31,0.38333333333333336
robustness,sft,downsample_25,paper,global,300,300,0,22,0.36333333333333334
robustness,sft,downsample_50,paper,global,300,300,0,27,0.3433333333333333
