left,right,n,left_accuracy,right_accuracy,accuracy_delta,delta_ci_low,delta_ci_high,left_only_correct,right_only_correct,mcnemar_exact_p,answer_agreement,model_key
clean,distractor_1,300,0.36666666666666664,0.35,-0.016666666666666666,-0.07333333333333333,0.04,41,36,0.6487911623106449,0.44666666666666666,base
clean,distractor_3,300,0.36666666666666664,0.32666666666666666,-0.04,-0.09333333333333334,0.013333333333333334,41,29,0.18821620302302766,0.4066666666666667,base
clean,downsample_25,300,0.36666666666666664,0.34,-0.02666666666666667,-0.08,0.023333333333333334,35,27,0.3741517124047949,0.5133333333333333,base
clean,downsample_50,300,0.36666666666666664,0.38333333333333336,0.016666666666666666,-0.03333333333333333,0.06666666666666667,26,31,0.5966417603730826,0.5633333333333334,base
clean,distractor_1,300,0.33,0.35,0.02,-0.03666666666666667,0.07666666666666666,33,39,0.5559977177609708,0.42333333333333334,rl
clean,distractor_3,300,0.33,0.36666666666666664,0.03666666666666667,-0.023333333333333334,0.09666666666666666,37,48,0.27799928908055166,0.4066666666666667,rl
clean,downsample_25,300,0.33,0.4066666666666667,0.07666666666666666,0.023333333333333334,0.13,24,47,0.008554538502693427,0.46,rl
clean,downsample_50,300,0.33,0.36666666666666664,0.03666666666666667,-0.016666666666666666,0.09,29,40,0.22840022535329696,0.47333333333333333,rl
clean,distractor_1,300,0.38,0.2966666666666667,-0.08333333333333333,-0.14,-0.03,49,24,0.004626293921895511,0.4,sft
clean,distractor_3,300,0.38,0.38333333333333336,0.0033333333333333335,-0.056666666666666664,0.06333333333333334,42,43,1.0,0.37666666666666665,sft
clean,downsample_25,300,0.38,0.36333333333333334,-0.016666666666666666,-0.07333333333333333,0.04,41,36,0.6487911623106449,0.44,sft
clean,downsample_50,300,0.38,0.3433333333333333,-0.03666666666666667,-0.09,0.02,41,30,0.23509756240834184,0.4766666666666667,sft
